symbol,coverage_start,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,fees,slippage,net_pnl,return,exit_reason,holding_days,strategy_version,suspended_during_hold
00100.HK,20260109,20260112,379.17879999999997,20260112,454.55954543999997,263,19825.13605072,382.676982271584,219.29322927998703,19442.459068448417,0.19496264000000002,take_profit,1,baseline_first_day_momentum_daily,False
00501.HK,20260112,20260113,124.52439999999999,20260113,114.44788555199999,803,-8091.441101744,322.17534645616314,191.88684574398474,-8413.616448200162,-0.08414197600000001,stop_loss,1,baseline_first_day_momentum_daily,False
01021.HK,20260330,20260331,19.019,20260331,17.47998252,5257,-8090.614892359983,322.14244943680796,191.86725235998819,-8412.75734179679,-0.08414197599999984,stop_loss,1,baseline_first_day_momentum_daily,False
01236.HK,20260511,20260512,62.86279999999999,20260512,57.77594222399999,1590,-8088.103863840006,322.04246829955196,191.8077038399972,-8410.146332139559,-0.08414197600000008,stop_loss,1,baseline_first_day_momentum_daily,False
02513.HK,20260108,20260109,137.33719999999997,20260109,164.63983535999995,728,19876.31854208,383.66493823257593,219.85937791998435,19492.653603847422,0.19496264000000005,take_profit,1,baseline_first_day_momentum_daily,False
02706.HK,20260213,20260216,103.90379999999999,20260216,124.55987543999997,962,19871.14457327999,383.56506710121596,219.80214671999835,19487.579506178776,0.19496263999999994,take_profit,1,baseline_first_day_momentum_daily,False
02723.HK,20260527,20260528,200.2,20260528,239.99975999999998,499,19860.080239999996,383.3514965279999,219.67975999999433,19476.728743471995,0.19496263999999996,take_profit,1,baseline_first_day_momentum_daily,False
03310.HK,20260527,20260528,41.041,20260528,37.71996228,2436,-8090.047885919994,322.11987305097597,191.85380591999683,-8412.16775897097,-0.08414197599999995,stop_loss,1,baseline_first_day_momentum_daily,False
06636.HK,20260330,20260331,96.2962,20260331,88.503911496,1038,-8088.395467152004,322.05407901226556,191.81461915200072,-8410.44954616427,-0.08414197600000003,stop_loss,1,baseline_first_day_momentum_daily,False
06656.HK,20260416,20260417,643.6429999999999,20260417,591.5594084399999,155,-8072.95669180002,321.43935627803995,191.44849179999426,-8394.39604807806,-0.08414197600000022,stop_loss,1,baseline_first_day_momentum_daily,False
06872.HK,20260522,20260526,211.21099999999998,20260526,194.11980588,473,-8084.13481875998,321.88443359872804,191.71357875999323,-8406.019252358708,-0.08414197599999981,stop_loss,1,baseline_first_day_momentum_daily,False
06938.HK,20260109,20260112,85.43534999999999,20260114,78.52192147799998,1170,-8088.7113707399985,322.0666572843719,191.82211073999213,-8410.77802802437,-0.084141976,stop_loss,3,baseline_first_day_momentum_daily,False
07630.HK,20260513,20260514,43.10306,20260514,39.6151603848,2320,-8091.927107263997,322.1946976440192,191.89837126399823,-8414.121804908016,-0.08414197599999998,stop_loss,1,baseline_first_day_momentum_daily,False
07688.HK,20260520,20260521,48.96892,20260521,45.0063549936,2042,-8091.557743068799,322.1799907412486,191.88961186878845,-8413.737733810047,-0.08414197599999998,stop_loss,1,baseline_first_day_momentum_daily,False
00100.HK,20260109,20260112,379.17879999999997,20260112,454.55954543999997,263,19825.13605072,382.676982271584,219.29322927998703,19442.459068448417,0.19496264000000002,take_profit,1,improved_grey_market_filter,False
01021.HK,20260330,20260331,19.019,20260331,17.47998252,5257,-8090.614892359983,322.14244943680796,191.86725235998819,-8412.75734179679,-0.08414197599999984,stop_loss,1,improved_grey_market_filter,False
01236.HK,20260511,20260512,62.86279999999999,20260512,57.77594222399999,1590,-8088.103863840006,322.04246829955196,191.8077038399972,-8410.146332139559,-0.08414197600000008,stop_loss,1,improved_grey_market_filter,False
02513.HK,20260108,20260109,137.33719999999997,20260109,164.63983535999995,728,19876.31854208,383.66493823257593,219.85937791998435,19492.653603847422,0.19496264000000005,take_profit,1,improved_grey_market_filter,False
02706.HK,20260213,20260216,103.90379999999999,20260216,124.55987543999997,962,19871.14457327999,383.56506710121596,219.80214671999835,19487.579506178776,0.19496263999999994,take_profit,1,improved_grey_market_filter,False
02723.HK,20260527,20260528,200.2,20260528,239.99975999999998,499,19860.080239999996,383.3514965279999,219.67975999999433,19476.728743471995,0.19496263999999996,take_profit,1,improved_grey_market_filter,False
03310.HK,20260527,20260528,41.041,20260528,37.71996228,2436,-8090.047885919994,322.11987305097597,191.85380591999683,-8412.16775897097,-0.08414197599999995,stop_loss,1,improved_grey_market_filter,False
06636.HK,20260330,20260331,96.2962,20260331,88.503911496,1038,-8088.395467152004,322.05407901226556,191.81461915200072,-8410.44954616427,-0.08414197600000003,stop_loss,1,improved_grey_market_filter,False
06656.HK,20260416,20260417,643.6429999999999,20260417,591.5594084399999,155,-8072.95669180002,321.43935627803995,191.44849179999426,-8394.39604807806,-0.08414197600000022,stop_loss,1,improved_grey_market_filter,False
06872.HK,20260522,20260526,211.21099999999998,20260526,194.11980588,473,-8084.13481875998,321.88443359872804,191.71357875999323,-8406.019252358708,-0.08414197599999981,stop_loss,1,improved_grey_market_filter,False
